user_count,education,education_id,ed_list
36915,Some College or Associate,1,[]
36916,Bachelor or Higher,0,[]
36917,Bachelor or Higher,0,[]
36918,Bachelor or Higher,0,[]
36919,Bachelor or Higher,0,[]
36920,Bachelor or Higher,0,[]
36921,Bachelor or Higher,0,[]
36922,Some College or Associate,1,[]
36923,Bachelor or Higher,0,[]
36924,Bachelor or Higher,0,[]
36925,Some College or Associate,1,[]
36926,High School,2,[]
36927,Bachelor or Higher,0,[]
36928,Some College or Associate,1,[]
36929,Bachelor or Higher,0,[]
36930,Some College or Associate,1,[]
36931,Bachelor or Higher,0,[]
36932,Less Than High School,3,[]
36933,Other,4,"[['', 'GED', '']]"
36934,Some College or Associate,1,[]
36935,Bachelor or Higher,0,[]
36936,Bachelor or Higher,0,[]
36937,Bachelor or Higher,0,[]
36938,Bachelor or Higher,0,[]
36939,Bachelor or Higher,0,[]
36940,Bachelor or Higher,0,[]
36941,Other,4,"[['', 'American School of Correspondence', '']]"
36942,Bachelor or Higher,0,[]
36943,Bachelor or Higher,0,[]
36944,Other,4,"[['', 'Instituto Universitario de Tecnolog\xc3\xada Venezuela', '']]"
36945,Bachelor or Higher,0,[]
36946,Some College or Associate,1,[]
36947,Bachelor or Higher,0,[]
36948,Bachelor or Higher,0,[]
36949,Bachelor or Higher,0,[]
36950,Bachelor or Higher,0,[]
36951,Bachelor or Higher,0,[]
36952,Some College or Associate,1,[]
36953,Some College or Associate,1,[]
36954,Some College or Associate,1,[]
36955,Some College or Associate,1,[]
36956,Bachelor or Higher,0,[]
36957,Bachelor or Higher,0,[]
36958,Bachelor or Higher,0,[]
36959,Bachelor or Higher,0,[]
36960,High School,2,[]
36961,Bachelor or Higher,0,[]
36962,Bachelor or Higher,0,[]
36963,Bachelor or Higher,0,[]
36964,High School,2,[]
36965,Bachelor or Higher,0,[]
36966,Bachelor or Higher,0,[]
36967,Bachelor or Higher,0,[]
36968,Bachelor or Higher,0,[]
36969,Bachelor or Higher,0,[]
36970,Bachelor or Higher,0,[]
36971,Bachelor or Higher,0,[]
36972,Bachelor or Higher,0,[]
36973,Some College or Associate,1,[]
36974,Bachelor or Higher,0,[]
36975,Bachelor or Higher,0,[]
36976,Some College or Associate,1,[]
36977,Bachelor or Higher,0,[]
36978,Bachelor or Higher,0,[]
36979,Bachelor or Higher,0,[]
36980,Bachelor or Higher,0,[]
36981,Some College or Associate,1,[]
36982,Bachelor or Higher,0,[]
36983,Bachelor or Higher,0,[]
36984,Bachelor or Higher,0,[]
36985,Bachelor or Higher,0,[]
36986,Bachelor or Higher,0,[]
36987,Bachelor or Higher,0,[]
36988,Some College or Associate,1,[]
36989,Some College or Associate,1,[]
36990,Bachelor or Higher,0,[]
36991,Some College or Associate,1,[]
36992,Bachelor or Higher,0,[]
36993,Bachelor or Higher,0,[]
36994,Bachelor or Higher,0,[]
36995,Bachelor or Higher,0,[]
36996,Bachelor or Higher,0,[]
36997,High School,2,[]
36998,Some College or Associate,1,[]
36999,error,error,error
37000,High School,2,[]
37001,Bachelor or Higher,0,[]
37002,Bachelor or Higher,0,[]
37003,Bachelor or Higher,0,[]
37004,Some College or Associate,1,[]
37005,Bachelor or Higher,0,[]
37006,Bachelor or Higher,0,[]
37007,Bachelor or Higher,0,[]
37008,Some College or Associate,1,[]
37009,Some College or Associate,1,[]
37010,Less Than High School,3,[]
37011,Bachelor or Higher,0,[]
37012,Some College or Associate,1,[]
37013,Bachelor or Higher,0,[]
37014,Bachelor or Higher,0,[]
37015,Other,4,"[['Other', 'Florida International University', '']]"
37016,Bachelor or Higher,0,[]
37017,High School,2,[]
37018,Bachelor or Higher,0,[]
37019,Bachelor or Higher,0,[]
37020,Bachelor or Higher,0,[]
37021,Bachelor or Higher,0,[]
37022,Bachelor or Higher,0,[]
37023,Bachelor or Higher,0,[]
37024,High School,2,[]
37025,Some College or Associate,1,[]
