user_count,skilltest_tenure
939,"[1250, 41, 3]"
940,"[427, 14, 1]"
941,"[405, 13, 1]"
942,"[415, 13, 1]"
943,"[519, 17, 1]"
944,"[373, 12, 1]"
945,"[361, 12, 0]"
946,"[348, 11, 0]"
947,"[334, 11, 0]"
948,"[525, 17, 1]"
949,"[516, 17, 1]"
950,"[215, 7, 0]"
951,"[682, 22, 1]"
952,None
953,None
954,"[262, 8, 0]"
955,None
956,"[258, 8, 0]"
957,"[354, 11, 0]"
958,"[416, 13, 1]"
959,"[242, 8, 0]"
960,"[221, 7, 0]"
961,"[510, 17, 1]"
962,None
963,"[276, 9, 0]"
964,"[278, 9, 0]"
965,"[426, 14, 1]"
966,"[394, 13, 1]"
967,"[393, 13, 1]"
968,None
969,None
970,"[464, 15, 1]"
971,"[410, 13, 1]"
972,"[221, 7, 0]"
973,"[714, 23, 1]"
974,"[2565, 85, 7]"
975,"[1257, 41, 3]"
976,"[802, 26, 2]"
977,"[110, 3, 0]"
978,"[249, 8, 0]"
979,"[2160, 72, 5]"
980,"[448, 14, 1]"
981,"[668, 22, 1]"
982,None
983,"[1653, 55, 4]"
984,"[1604, 53, 4]"
985,None
986,"[1669, 55, 4]"
987,"[566, 18, 1]"
988,"[229, 7, 0]"
989,"[1957, 65, 5]"
990,None
991,"[648, 21, 1]"
992,"[1326, 44, 3]"
993,"[185, 6, 0]"
994,"[1474, 49, 4]"
995,"[1308, 43, 3]"
996,"[182, 6, 0]"
997,"[313, 10, 0]"
998,"[723, 24, 1]"
999,"[424, 14, 1]"
1000,"[845, 28, 2]"
1001,"[344, 11, 0]"
1002,None
1003,"[3547, 118, 9]"
1004,"[1006, 33, 2]"
1005,None
1006,None
1007,None
1008,None
1009,"[2500, 83, 6]"
1010,"[1985, 66, 5]"
1011,"[623, 20, 1]"
1012,"[594, 19, 1]"
1013,"[342, 11, 0]"
1014,"[945, 31, 2]"
1015,"[3226, 107, 8]"
1016,"[408, 13, 1]"
1017,None
1018,None
1019,"[665, 22, 1]"
1020,"[724, 24, 1]"
1021,"[496, 16, 1]"
1022,"[709, 23, 1]"
1023,"[509, 16, 1]"
1024,"[621, 20, 1]"
1025,"[606, 20, 1]"
1026,"[503, 16, 1]"
1027,"[572, 19, 1]"
1028,None
1029,"[895, 29, 2]"
1030,"[1263, 42, 3]"
1031,None
1032,None
1033,"[348, 11, 0]"
1034,"[288, 9, 0]"
1035,"[1457, 48, 3]"
1036,"[592, 19, 1]"
1037,"[754, 25, 2]"
1038,None
1039,"[1551, 51, 4]"
1040,"[577, 19, 1]"
1041,None
1042,"[252, 8, 0]"
1043,"[715, 23, 1]"
1044,None
1045,"[181, 6, 0]"
1046,"[2003, 66, 5]"
1047,"[478, 15, 1]"
1048,None
1049,"[733, 24, 2]"
1050,"[907, 30, 2]"
1051,None
1052,None
1053,"[584, 19, 1]"
1054,"[172, 5, 0]"
1055,"[327, 10, 0]"
1056,"[387, 12, 1]"
1057,"[306, 10, 0]"
1058,"[672, 22, 1]"
1059,"[657, 21, 1]"
1060,"[356, 11, 0]"
1061,"[3245, 108, 8]"
1062,"[548, 18, 1]"
1063,None
1064,"[944, 31, 2]"
1065,"[728, 24, 1]"
1066,"[528, 17, 1]"
1067,None
1068,"[1454, 48, 3]"
1069,None
1070,"[889, 29, 2]"
1071,"[284, 9, 0]"
